"id","amascat","stat","value"
621,"lo","bis_NPL",2.72727272727273
622,"hi","bis_NPL",2.45454545454545
625,"lo","bis_NPL",2.36363636363636
626,"hi","bis_NPL",2.72727272727273
627,"hi","bis_NPL",2
628,"hi","bis_NPL",2.18181818181818
629,"hi","bis_NPL",2.81818181818182
630,"hi","bis_NPL",2.45454545454545
631,"hi","bis_NPL",2.81818181818182
632,"hi","bis_NPL",3.18181818181818
633,"lo","bis_NPL",3
634,"hi","bis_NPL",2.72727272727273
635,"lo","bis_NPL",2.27272727272727
636,"hi","bis_NPL",2
637,"hi","bis_NPL",1.90909090909091
638,"lo","bis_NPL",2.18181818181818
640,"lo","bis_NPL",2.36363636363636
641,"lo","bis_NPL",2.09090909090909
642,"hi","bis_NPL",2.54545454545455
643,"lo","bis_NPL",1.81818181818182
644,"hi","bis_NPL",1.45454545454545
645,"lo","bis_NPL",2.54545454545455
646,"lo","bis_NPL",2.18181818181818
647,"hi","bis_NPL",1.45454545454545
648,"hi","bis_NPL",2.45454545454545
649,"hi","bis_NPL",2.72727272727273
650,"lo","bis_NPL",2
651,"lo","bis_NPL",1.18181818181818
652,"hi","bis_NPL",2.27272727272727
653,"lo","bis_NPL",2.54545454545455
654,"lo","bis_NPL",2.36363636363636
655,"lo","bis_NPL",1.54545454545455
602,"hi","bis",1.6
603,"hi","bis",2.46666666666667
604,"hi","bis",2.13333333333333
605,"lo","bis",1.9
606,"lo","bis",2.16666666666667
607,"hi","bis",2
608,"hi","bis",2
609,"hi","bis",2.43333333333333
610,"lo","bis",1.8
611,"lo","bis",1.73333333333333
612,"lo","bis",2.03333333333333
613,"lo","bis",2.36666666666667
614,"lo","bis",1.76666666666667
615,"lo","bis",2.13333333333333
616,"lo","bis",2.1
617,"hi","bis",1.9
618,"lo","bis",1.73333333333333
619,"lo","bis",2.36666666666667
620,"hi","bis",1.93333333333333
621,"lo","bis",2.3
622,"hi","bis",2.46666666666667
625,"lo","bis",1.93333333333333
626,"hi","bis",2.36666666666667
627,"hi","bis",1.7
628,"hi","bis",1.9
629,"hi","bis",2.36666666666667
630,"hi","bis",2.26666666666667
631,"hi","bis",2.56666666666667
632,"hi","bis",2.1
633,"lo","bis",2.13333333333333
634,"hi","bis",2.56666666666667
635,"lo","bis",2.63333333333333
636,"hi","bis",2.16666666666667
637,"hi","bis",1.9
638,"lo","bis",2.23333333333333
640,"lo","bis",2.03333333333333
641,"lo","bis",2.1
642,"hi","bis",2.23333333333333
643,"lo","bis",1.7
644,"hi","bis",1.36666666666667
645,"lo","bis",2.1
646,"lo","bis",1.83333333333333
647,"hi","bis",1.93333333333333
648,"hi","bis",1.8
649,"hi","bis",2.33333333333333
650,"lo","bis",1.63333333333333
651,"lo","bis",1.5
652,"hi","bis",2.06666666666667
653,"lo","bis",2.53333333333333
654,"lo","bis",2.26666666666667
655,"lo","bis",1.66666666666667
602,"hi","tuckman",2.66666666666667
603,"hi","tuckman",2.55555555555556
604,"hi","tuckman",2.55555555555556
605,"lo","tuckman",3.44444444444444
606,"lo","tuckman",2.44444444444444
607,"hi","tuckman",3
608,"hi","tuckman",2.55555555555556
609,"hi","tuckman",2.66666666666667
610,"lo","tuckman",3.44444444444444
611,"lo","tuckman",3.33333333333333
612,"lo","tuckman",3.88888888888889
613,"lo","tuckman",2.33333333333333
614,"lo","tuckman",3
615,"lo","tuckman",4.11111111111111
616,"lo","tuckman",2.66666666666667
617,"hi","tuckman",2.66666666666667
618,"lo","tuckman",3.55555555555556
619,"lo","tuckman",2.22222222222222
620,"hi","tuckman",1.77777777777778
621,"lo","tuckman",2.11111111111111
622,"hi","tuckman",2.22222222222222
625,"lo","tuckman",3.44444444444444
626,"hi","tuckman",2.22222222222222
627,"hi","tuckman",4
