"id","amascat","biscat","amas_learn","amas_eval","amas","bis_ATT","bis_MTR","bis_NPL","bis","mathtask","value","difficulty","subject","stat"
612,"lo","lo",1,1.25,1.11111111111111,1.875,2,2.18181818181818,2.03333333333333,"hardverbaltime",3205.825,"hard","verbal","time"
613,"lo","hi",1,1,1,2.25,2.09090909090909,2.72727272727273,2.36666666666667,"hardverbaltime",2369.7625,"hard","verbal","time"
614,"lo","lo",1,1.75,1.33333333333333,1.875,1.81818181818182,1.63636363636364,1.76666666666667,"hardverbaltime",3915.8375,"hard","verbal","time"
615,"lo","hi",1.4,3,2.11111111111111,3,2.18181818181818,1.45454545454545,2.13333333333333,"hardverbaltime",3673.6875,"hard","verbal","time"
616,"lo","lo",1,1.5,1.22222222222222,2.25,2,2.09090909090909,2.1,"hardverbaltime",3046.45,"hard","verbal","time"
617,"hi","lo",3,5,3.88888888888889,2.125,1.72727272727273,1.90909090909091,1.9,"hardverbaltime",3381.0125,"hard","verbal","time"
618,"lo","lo",1,2,1.44444444444444,1.375,1.63636363636364,2.09090909090909,1.73333333333333,"hardverbaltime",3411.8875,"hard","verbal","time"
619,"lo","hi",1.2,1,1.11111111111111,2.875,1.90909090909091,2.45454545454545,2.36666666666667,"hardverbaltime",3295.3125,"hard","verbal","time"
620,"hi","lo",4.8,4.75,4.77777777777778,2.25,1.45454545454545,2.18181818181818,1.93333333333333,"hardverbaltime",3406.2375,"hard","verbal","time"
621,"lo","hi",1,3,1.88888888888889,1.625,2.36363636363636,2.72727272727273,2.3,"hardverbaltime",3036.225,"hard","verbal","time"
622,"hi","hi",2.4,4.25,3.22222222222222,2.625,2.36363636363636,2.45454545454545,2.46666666666667,"hardverbaltime",1541.1,"hard","verbal","time"
625,"lo","lo",1,3.25,2,1.875,1.54545454545455,2.36363636363636,1.93333333333333,"hardverbaltime",3845.15,"hard","verbal","time"
626,"hi","hi",2.8,3,2.88888888888889,2.25,2.09090909090909,2.72727272727273,2.36666666666667,"hardverbaltime",2939.425,"hard","verbal","time"
627,"hi","lo",2.2,4.25,3.11111111111111,1.625,1.45454545454545,2,1.7,"hardverbaltime",3742.3125,"hard","verbal","time"
628,"hi","lo",1.6,3.25,2.33333333333333,1.5,1.90909090909091,2.18181818181818,1.9,"hardverbaltime",2164.7625,"hard","verbal","time"
629,"hi","hi",2.8,3,2.88888888888889,2,2.18181818181818,2.81818181818182,2.36666666666667,"hardverbaltime",3388.15,"hard","verbal","time"
630,"hi","hi",3.6,4.5,4,2.375,2,2.45454545454545,2.26666666666667,"hardverbaltime",3649.9,"hard","verbal","time"
631,"hi","hi",3.4,4,3.66666666666667,2.5,2.36363636363636,2.81818181818182,2.56666666666667,"hardverbaltime",2418.45,"hard","verbal","time"
632,"hi","lo",3,3,3,1.75,1.27272727272727,3.18181818181818,2.1,"hardverbaltime",4073.025,"hard","verbal","time"
633,"lo","hi",1,1.25,1.11111111111111,1.75,1.54545454545455,3,2.13333333333333,"hardverbaltime",2625.4625,"hard","verbal","time"
634,"hi","hi",2.8,3.25,3,2.75,2.27272727272727,2.72727272727273,2.56666666666667,"hardverbaltime",4560.4375,"hard","verbal","time"
635,"lo","hi",1,1,1,2.75,2.90909090909091,2.27272727272727,2.63333333333333,"hardverbaltime",4068.9125,"hard","verbal","time"
636,"hi","hi",3.2,4,3.55555555555556,2.5,2.09090909090909,2,2.16666666666667,"hardverbaltime",3610.6625,"hard","verbal","time"
637,"hi","lo",2.4,4.25,3.22222222222222,2.375,1.54545454545455,1.90909090909091,1.9,"hardverbaltime",3934.925,"hard","verbal","time"
638,"lo","hi",1.2,2.25,1.66666666666667,2.375,2.18181818181818,2.18181818181818,2.23333333333333,"hardverbaltime",2519.5875,"hard","verbal","time"
640,"lo","lo",1,3.5,2.11111111111111,2.125,1.63636363636364,2.36363636363636,2.03333333333333,"hardverbaltime",3587.9125,"hard","verbal","time"
641,"lo","lo",1.6,2.25,1.88888888888889,2.125,2.09090909090909,2.09090909090909,2.1,"hardverbaltime",3588.7375,"hard","verbal","time"
